,loss,grad_norm,learning_rate,epoch,step
0,0.5953,1.4161299467086792,9.71590909090909e-05,0.28,50
1,0.2957,1.410649061203003,9.431818181818182e-05,0.57,100
2,0.3032,0.736869752407074,9.147727272727274e-05,0.85,150
3,0.2922,1.9555649757385254,8.863636363636364e-05,1.13,200
4,0.2793,1.1940993070602417,8.579545454545454e-05,1.42,250
5,0.2993,0.6816968321800232,8.295454545454547e-05,1.7,300
6,0.2834,1.484904170036316,8.011363636363637e-05,1.99,350
7,0.2485,2.011009931564331,7.727272727272727e-05,2.27,400
8,0.2479,1.6166690587997437,7.443181818181817e-05,2.55,450
9,0.2439,2.010336399078369,7.15909090909091e-05,2.84,500
10,0.2085,2.636263847351074,6.875e-05,3.12,550
11,0.1339,2.7545742988586426,6.59090909090909e-05,3.4,600
12,0.1357,3.9113881587982178,6.306818181818182e-05,3.69,650
13,0.1388,2.2072410583496094,6.022727272727273e-05,3.97,700
14,0.0651,3.194873094558716,5.738636363636364e-05,4.26,750
15,0.0564,2.5889604091644287,5.4545454545454546e-05,4.54,800
16,0.053,3.1031720638275146,5.170454545454546e-05,4.82,850
17,0.0526,1.0806509256362915,4.886363636363637e-05,5.11,900
18,0.0331,1.345886468887329,4.602272727272727e-05,5.39,950
19,0.0369,1.1673163175582886,4.318181818181819e-05,5.67,1000
20,0.0312,2.605081796646118,4.034090909090909e-05,5.96,1050
21,0.0195,1.6766446828842163,3.7500000000000003e-05,6.24,1100
22,0.0241,2.2504453659057617,3.465909090909091e-05,6.52,1150
23,0.0135,1.2502256631851196,3.181818181818182e-05,6.81,1200
24,0.0172,0.24546894431114197,2.8977272727272732e-05,7.09,1250
25,0.0117,0.39170441031455994,2.6136363636363637e-05,7.38,1300
26,0.0111,0.09987136721611023,2.3295454545454546e-05,7.66,1350
27,0.0128,0.09764623641967773,2.0454545454545457e-05,7.94,1400
28,0.0045,0.113623708486557,1.7613636363636366e-05,8.23,1450
29,0.0068,0.04168571159243584,1.4772727272727274e-05,8.51,1500
30,0.0048,3.4879817962646484,1.1931818181818183e-05,8.79,1550
31,0.0035,0.01573018543422222,9.090909090909091e-06,9.08,1600
32,0.0009,0.1213630884885788,6.25e-06,9.36,1650
33,0.0025,0.15318605303764343,3.409090909090909e-06,9.65,1700
34,0.0016,0.002846744144335389,5.681818181818182e-07,9.93,1750
